eb547_item,fema_item,match_quality,eb547_recall,fema_recall,note
documents_safe,documents,exact,lifetime,12 months,"Safeguard documents — same concept both sides."
signed_up_alerts,alerts,exact,lifetime,12 months,"Sign up for official alerts and warnings."
training_exercise,drills,exact,lifetime,12 months,"Participate in training or an emergency drill."
family_contact_plan,family_comms,exact,lifetime,12 months,"Agree how the household will make contact."
neighbourhood_discussion,neighbours,exact,lifetime,12 months,"Plan or discuss protection with neighbours."
home_protection,home_safer,exact,lifetime,12 months,"Invest in making the home safer."
knows_official_plan,evacuation_routes,partial,lifetime,12 months,"EB547 asks about knowing the town/region plan generally; FEMA asks specifically about evacuation routes. Overlapping, narrower on the FEMA side."
emergency_food_drink,supplies,partial,lifetime,12 months,"EB547 splits supplies into five separate items; FEMA has one. Comparable only against the EB547 supplies items taken together."
emergency_water,supplies,partial,lifetime,12 months,"See emergency_food_drink — one FEMA item maps to five EB547 items."
flashlight_candles,supplies,partial,lifetime,12 months,"See emergency_food_drink."
battery_radio,supplies,partial,lifetime,12 months,"See emergency_food_drink."
first_aid_kit,supplies,partial,lifetime,12 months,"See emergency_food_drink."
grab_bag,,none,lifetime,,"No FEMA equivalent. The evacuation grab-bag — ActionWise's Sac 72h — is asked in Europe only, so its conversion rate cannot be replicated on US data."
,make_plan,none,,12 months,"FEMA-only. EB547 has no single 'make a plan' item; planning is implied across several."
,rainy_day,none,,12 months,"FEMA-only. Financial preparedness is absent from the EB547 battery."
,community,none,,12 months,"FEMA-only. Community involvement is closest to EB547 neighbourhood_discussion but broader."
,insure_property,none,,12 months,"FEMA-only. Insurance is absent from the EB547 battery."
